experiment,wandb_sample_run_path,reference,trajectory
Our_2AA,prescient-design/jamun/sc3roq1e,JAMUNReference_2AA,JAMUN
Our_2AA,prescient-design/jamun/ur17v6od,JAMUNReference_2AA,JAMUN
Timewarp_2AA,prescient-design/jamun/jls6fodw,TimewarpReference,JAMUN
Timewarp_2AA,prescient-design/jamun/dss1dnyt,TimewarpReference,JAMUN
Timewarp_4AA,prescient-design/jamun/xv2dsan8,TimewarpReference,JAMUN
Timewarp_4AA,prescient-design/jamun/a8fukafx,TimewarpReference,JAMUN
Timewarp_4AA,prescient-design/jamun/odb1bs62,TimewarpReference,JAMUN
Timewarp_4AA,prescient-design/jamun/5dklwb4r,TimewarpReference,JAMUN
MDGen_4AA,prescient-design/jamun/gwm6gput,MDGenReference,JAMUN
MDGen_4AA,prescient-design/jamun/jpvsv8sz,MDGenReference,JAMUN
MDGen_4AA,prescient-design/jamun/yf29oil3,MDGenReference,JAMUN
MDGen_4AA_new,prescient-design/jamun/2nf4wwln,MDGenReference,JAMUN
MDGen_4AA_new,prescient-design/jamun/2roiza83,MDGenReference,JAMUN
MDGen_4AA_new,prescient-design/jamun/6fc5m3oj,MDGenReference,JAMUN
MDGen_4AA_newer,prescient-design/jamun/y0iyshir,MDGenReference,JAMUN
MDGen_4AA_newer,prescient-design/jamun/y6p1709g,MDGenReference,JAMUN
MDGen_4AA_newer,prescient-design/jamun/vezq9kjs,MDGenReference,JAMUN
Our_5AA,prescient-design/jamun/iyqklg6q,JAMUNReference_5AA,JAMUN
