run_name,run_path,lag_subsample_rate,total_lag_time,validation_scaled_rmse,model_target,data_target
graph_comparison_spatiotemporal_default_fan_temporal_lag_1_time_2_enhanced_sampling_data,sule-shashank/jamun/gxomxwtq,1,2,0.27083016000688076,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_4_time_8_enhanced_sampling_data,sule-shashank/jamun/g1512wlf,4,8,0.3578928094357252,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_4_time_6_enhanced_sampling_data,sule-shashank/jamun/3dz5xmax,4,6,0.30962056666612625,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_3_time_8_enhanced_sampling_data,sule-shashank/jamun/9kb3i03b,3,8,0.3430485036224127,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_3_time_6_enhanced_sampling_data,sule-shashank/jamun/2wp82cfo,3,6,0.33505777828395367,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_3_time_2_enhanced_sampling_data,sule-shashank/jamun/6g919rvm,3,2,0.26015421841293573,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_3_time_4_enhanced_sampling_data,sule-shashank/jamun/deipiaj1,3,4,0.27313617803156376,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_4_time_2_enhanced_sampling_data,sule-shashank/jamun/gz30rece,4,2,0.26252674777060747,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_1_time_4_enhanced_sampling_data,sule-shashank/jamun/c2fvvmrw,1,4,0.2634944459423423,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_2_time_8_enhanced_sampling_data,sule-shashank/jamun/ecq1lzck,2,8,0.3460829760879278,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_2_time_4_enhanced_sampling_data,sule-shashank/jamun/h1nxa4ed,2,4,0.2966764625161886,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_4_time_4_enhanced_sampling_data,sule-shashank/jamun/y05s6wsy,4,4,0.28305633924901485,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_2_time_6_enhanced_sampling_data,sule-shashank/jamun/jmaz97j4,2,6,0.2979964315891266,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_2_time_2_enhanced_sampling_data,sule-shashank/jamun/6bv6r9ct,2,2,0.26125847920775414,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_1_time_6_enhanced_sampling_data,sule-shashank/jamun/rac4bws1,1,6,0.2733909171074629,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
graph_comparison_spatiotemporal_default_fan_temporal_lag_1_time_8_enhanced_sampling_data,sule-shashank/jamun/tjwcsf4g,1,8,0.3070009406656027,jamun.model.denoiser_conditional.Denoiser,jamun.data.parse_datasets_from_directory
