aa,smiles,residue_smiles,alpha_carbon_stereo,n-methylation
A,C[C@H](N)C(=O)O,CN[C@@H](C)C=O,L,False
dA,C[C@@H](N)C(=O)O,CN[C@H](C)C=O,D,False
meA,CN[C@@H](C)C(=O)O,C[C@@H](C=O)N(C)C,L,True
Me_dA,CN[C@H](C)C(=O)O,C[C@H](C=O)N(C)C,D,True
Ala(tBu),CC(C)(C)C[C@H](N)C(=O)O,CN[C@H](C=O)CC(C)(C)C,L,False
Ala(indol-2-yl),N[C@@H](Cc1cc2ccccc2[nH]1)C(=O)O,CN[C@H](C=O)Cc1cc2ccccc2[nH]1,D,False
dAla(indol-2-yl),N[C@H](Cc1cc2ccccc2[nH]1)C(=O)O,CN[C@@H](C=O)Cc1cc2ccccc2[nH]1,D,False
Me_Ala(indol-2-yl),CN[C@@H](Cc1cc2ccccc2[nH]1)C(=O)O,CN(C)[C@H](C=O)Cc1cc2ccccc2[nH]1,D,True
Ala(5-Tet),N[C@@H](Cc1nnn[nH]1)C(=O)O,CN[C@H](C=O)Cc1nnn[nH]1,L,False
Abu,CC[C@H](N)C(=O)O,CC[C@@H](C=O)NC,L,False
dAbu,CC[C@@H](N)C(=O)O,CC[C@H](C=O)NC,D,False
Me_Abu,CC[C@H](NC)C(=O)O,CC[C@@H](C=O)N(C)C,L,True
Me_dAbu,CC[C@@H](NC)C(=O)O,CC[C@H](C=O)N(C)C,D,True
Me_Abu(morpholino),CN[C@@H](CCN1CCOCC1)C(=O)O,CN(C)[C@H](C=O)CCN1CCOCC1,L,True
2Abz,Nc1ccccc1C(=O)O,CNc1ccccc1C=O,L,False
Aib,CC(C)(N)C(=O)O,CNC(C)(C)C=O,L,False
Aoc(2),CCCCCC[C@H](N)C(=O)O,CCCCCC[C@@H](C=O)NC,L,False
5-Ava,NCCCCC(=O)O,CNCCCCC=O,L,False
Bal,NCCC(=O)O,CNCCC=O,L,False
Me_Bal,CNCCC(=O)O,CN(C)CCC=O,L,True
HOCOCH2_Bal,O=C(O)CCNCC(=O)O,CN(CC=O)CCC(=O)O,L,False
Cys(EtO2H)_NH2,NC(=O)[C@@H](N)CSCC(=O)O,CN[C@@H](CSCC=O)C(N)=O,L,False
Cha,N[C@@H](CC1CCCCC1)C(=O)O,CN[C@H](C=O)CC1CCCCC1,L,False
dCha,N[C@H](CC1CCCCC1)C(=O)O,CN[C@@H](C=O)CC1CCCCC1,D,False
Me_Cha,CN[C@@H](CC1CCCCC1)C(=O)O,CN(C)[C@H](C=O)CC1CCCCC1,L,True
D,N[C@@H](CC(=O)O)C(=O)O,CN[C@H](C=O)CC=O,D,False
meD,CN[C@@H](CC(=O)O)C(=O)O,CN(C)[C@H](C=O)CC=O,D,True
Asp_piperidide,N[C@@H](CC(=O)O)C(=O)N1CCCCC1,CN[C@@H](CC=O)C(=O)N1CCCCC1,D,False
Asp(OMe),COC(=O)C[C@H](N)C(=O)O,CN[C@H](C=O)CC(=O)OC,L,True
Asp(Ph(2-NH2)),Nc1ccccc1C(=O)C[C@H](N)C(=O)O,CN[C@H](C=O)CC(=O)c1ccccc1N,L,False
dAsp(pyrrol-1-yl),N[C@H](CC(=O)N1CCCC1)C(=O)O,CN[C@@H](C=O)CC(=O)N1CCCC1,D,False
E,N[C@@H](CCC(=O)O)C(=O)O,CN[C@H](C=O)CCC=O,L,False
Glu_NH2,NC(=O)[C@@H](N)CCC(=O)O,CN[C@@H](CCC=O)C(N)=O,L,False
Glu(3R-Me),C[C@H](CC(=O)O)[C@H](N)C(=O)O,CN[C@H](C=O)[C@H](C)CC(=O)O,L,True
Glu(OMe),COC(=O)CC[C@H](N)C(=O)O,CN[C@H](C=O)CCC(=O)OC,L,True
dGlu(OMe),COC(=O)CC[C@@H](N)C(=O)O,CN[C@@H](C=O)CCC(=O)OC,D,True
F,N[C@@H](Cc1ccccc1)C(=O)O,CN[C@H](C=O)Cc1ccccc1,L,False
dF,N[C@H](Cc1ccccc1)C(=O)O,CN[C@@H](C=O)Cc1ccccc1,D,False
meF,CN[C@@H](Cc1ccccc1)C(=O)O,CN(C)[C@H](C=O)Cc1ccccc1,L,True
Me_dF,CN[C@H](Cc1ccccc1)C(=O)O,CN(C)[C@@H](C=O)Cc1ccccc1,D,True
Phe(4-F),N[C@@H](Cc1ccc(F)cc1)C(=O)O,CN[C@H](C=O)Cc1ccc(F)cc1,L,False
dPhe(4-F),N[C@H](Cc1ccc(F)cc1)C(=O)O,CN[C@@H](C=O)Cc1ccc(F)cc1,D,False
Phe(4-CF3),N[C@@H](Cc1ccc(C(F)(F)F)cc1)C(=O)O,CN[C@H](C=O)Cc1ccc(C(F)(F)F)cc1,L,False
Phe(4-NO2),N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O,CN[C@H](C=O)Cc1ccc([N+](=O)[O-])cc1,L,False
Phe(CHF2),N[C@@H](Cc1ccc(C(F)F)cc1)C(=O)O,CN[C@H](C=O)Cc1ccc(C(F)F)cc1,L,False
"dPhe(3,4-diF)",N[C@H](Cc1ccc(F)c(F)c1)C(=O)O,CN[C@@H](C=O)Cc1ccc(F)c(F)c1,D,False
Et_Phe,CCN[C@@H](Cc1ccccc1)C(=O)O,CCN(C)[C@H](C=O)Cc1ccccc1,L,False
H2NEt_Phe,NCCN[C@@H](Cc1ccccc1)C(=O)O,CNCCN[C@H](C=O)Cc1ccccc1,L,False
Me_Phe(3-Cl),CN[C@@H](Cc1cccc(Cl)c1)C(=O)O,CN(C)[C@H](C=O)Cc1cccc(Cl)c1,L,True
Me_Phe(4-Cl),CN[C@@H](Cc1ccc(Cl)cc1)C(=O)O,CN(C)[C@H](C=O)Cc1ccc(Cl)cc1,L,True
"Me_Phe(a,b-dehydro)",CN/C(=C\c1ccccc1)C(=O)O,CN(C)/C(C=O)=C\c1ccccc1,D,True
G,NCC(=O)O,CNCC=O,L,False
Bn_Gly,O=C(O)CNCc1ccccc1,CN(CC=O)Cc1ccccc1,L,False
Bn(4-Cl)_Gly,O=C(O)CNCc1ccc(Cl)cc1,CN(CC=O)Cc1ccc(Cl)cc1,L,False
Bn(4-OH)_Gly,O=C(O)CNCc1ccc(O)cc1,CN(CC=O)Cc1ccc(O)cc1,L,False
Bu_Gly,CCCCNCC(=O)O,CCCCN(C)CC=O,L,False
iBu_Gly,CC(C)CNCC(=O)O,CC(C)CN(C)CC=O,L,False
Et_Gly,CCNCC(=O)O,CCN(C)CC=O,L,False
EtOEt_Gly,CCOCCNCC(=O)O,CCOCCN(C)CC=O,L,False
HOCOCH2_Gly_ol,O=C(O)CNCCO,CN(CC=O)CCO,L,False
MeOEt_Gly,COCCNCC(=O)O,COCCN(C)CC=O,L,True
NH2Bu_Gly,NCCCCNCC(=O)O,CN(CC=O)CCCCN,L,False
Pr_Gly,CCCNCC(=O)O,CCCN(C)CC=O,L,False
PhEt_Gly,O=C(O)CNCCc1ccccc1,CN(CC=O)CCc1ccccc1,L,False
PhPr_Gly,O=C(O)CNCCCc1ccccc1,CN(CC=O)CCCc1ccccc1,L,False
cHexCH2_Gly,O=C(O)CNCC1CCCCC1,CN(CC=O)CC1CCCCC1,L,False
isoamyl_Gly,CC(C)CCNCC(=O)O,CC(C)CCN(C)CC=O,L,False
pentyl_Gly,CCCCCNCC(=O)O,CCCCCN(C)CC=O,L,False
3-pyridylethyl_Gly,O=C(O)CNCCc1cccnc1,CN(CC=O)CCc1cccnc1,D,False
2-pyridylmethyl_Gly,O=C(O)CNCc1ccccn1,CN(CC=O)Cc1ccccn1,D,True
